Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,"Tuesday, April 12, 2016",1,327,346
1503960366,"Wednesday, April 13, 2016",2,384,407
1503960366,"Friday, April 15, 2016",1,412,442
1503960366,"Saturday, April 16, 2016",2,340,367
1503960366,"Sunday, April 17, 2016",1,700,712
1503960366,"Tuesday, April 19, 2016",1,304,320
1503960366,"Wednesday, April 20, 2016",1,360,377
1503960366,"Thursday, April 21, 2016",1,325,364
1503960366,"Saturday, April 23, 2016",1,361,384
1503960366,"Sunday, April 24, 2016",1,430,449
1503960366,"Monday, April 25, 2016",1,277,323
1503960366,"Tuesday, April 26, 2016",1,245,274
1503960366,"Thursday, April 28, 2016",1,366,393
1503960366,"Friday, April 29, 2016",1,341,354
1503960366,"Saturday, April 30, 2016",1,404,425
1503960366,"Sunday, May 1, 2016",1,369,396
1503960366,"Monday, May 2, 2016",1,277,309
1503960366,"Tuesday, May 3, 2016",1,273,296
1503960366,"Thursday, May 5, 2016",1,247,264
1503960366,"Friday, May 6, 2016",1,334,367
1503960366,"Saturday, May 7, 2016",1,331,349
1503960366,"Sunday, May 8, 2016",1,594,611
1503960366,"Monday, May 9, 2016",1,338,342
1503960366,"Tuesday, May 10, 2016",1,383,403
1503960366,"Wednesday, May 11, 2016",1,285,306
1644430081,"Friday, April 29, 2016",1,119,127
1644430081,"Saturday, April 30, 2016",1,124,142
1644430081,"Monday, May 2, 2016",1,796,961
1644430081,"Sunday, May 8, 2016",1,137,154
1844505072,"Friday, April 15, 2016",1,644,961
1844505072,"Saturday, April 30, 2016",1,722,961
1844505072,"Sunday, May 1, 2016",1,590,961
1927972279,"Tuesday, April 12, 2016",3,750,775
1927972279,"Wednesday, April 13, 2016",1,398,422
1927972279,"Friday, April 15, 2016",2,475,499
1927972279,"Tuesday, April 26, 2016",1,296,315
1927972279,"Thursday, April 28, 2016",1,166,178
2026352035,"Tuesday, April 12, 2016",1,503,546
2026352035,"Wednesday, April 13, 2016",1,531,565
2026352035,"Thursday, April 14, 2016",1,545,568
2026352035,"Friday, April 15, 2016",1,523,573
2026352035,"Saturday, April 16, 2016",1,524,567
2026352035,"Sunday, April 17, 2016",1,437,498
2026352035,"Tuesday, April 19, 2016",1,498,540
2026352035,"Wednesday, April 20, 2016",1,461,510
2026352035,"Thursday, April 21, 2016",1,477,514
2026352035,"Friday, April 22, 2016",1,520,545
2026352035,"Saturday, April 23, 2016",1,522,554
2026352035,"Sunday, April 24, 2016",1,555,591
2026352035,"Monday, April 25, 2016",1,506,531
2026352035,"Wednesday, April 27, 2016",1,508,545
2026352035,"Thursday, April 28, 2016",1,513,545
2026352035,"Friday, April 29, 2016",1,490,510
2026352035,"Saturday, April 30, 2016",1,573,607
2026352035,"Sunday, May 1, 2016",1,527,546
2026352035,"Monday, May 2, 2016",1,511,543
2026352035,"Wednesday, May 4, 2016",1,538,560
2026352035,"Thursday, May 5, 2016",1,468,485
2026352035,"Friday, May 6, 2016",1,524,548
2026352035,"Saturday, May 7, 2016",1,511,521
2026352035,"Sunday, May 8, 2016",1,541,568
2026352035,"Monday, May 9, 2016",1,531,556
2026352035,"Tuesday, May 10, 2016",1,357,380
2026352035,"Wednesday, May 11, 2016",1,523,553
2026352035,"Thursday, May 12, 2016",1,456,485
2320127002,"Saturday, April 23, 2016",1,61,69
2347167796,"Wednesday, April 13, 2016",1,467,531
